jgagnant,tropheesg,cg1,cg2,cg3,cg4,cg5,cg6,cg7,cg8,jperdant,tropheesp,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8
#V9PJPU9CP,6819,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#UYLYVGLJ8,6790,Bomb Tower,Witch,Skeleton Barrel,Berserker,Minions,Zap,Firecracker,Mini P.E.K.K.A
#Y89PQV9U,6868,Witch,Skeleton Army,Mother Witch,Skeleton Dragons,Skeleton King,Night Witch,Miner,Arrows,#V9PJPU9CP,6847,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies
#V9PJPU9CP,6817,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#CGCYUGGPV,6827,Royal Giant,Knight,Inferno Tower,Bats,Barbarian Barrel,Arrows,Skeletons,Ice Spirit
#V9PJPU9CP,6788,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#V2LJV02UG,6785,Witch,Mega Knight,Skeleton King,Goblin Barrel,Bomber,Vines,Electro Wizard,Princess
#V9PJPU9CP,6758,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#PVLGU0U88,6763,Mortar,Electro Dragon,Skeleton King,Zap,Valkyrie,Skeleton Barrel,Goblin Barrel,Bats
#VLP99YGCG,6782,Wall Breakers,Giant Snowball,Witch,Cannon,Royal Delivery,Valkyrie,Dart Goblin,Knight,#V9PJPU9CP,6788,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies
#V9PJPU9CP,6758,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#LLGGLQR2,6765,Electro Dragon,Valkyrie,Royal Hogs,The Log,Tesla,Skeleton King,Skeleton Army,Goblin Gang
#V9PJPU9CP,6728,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#R0PPG8GGL,6728,Mega Knight,Witch,Goblin Barrel,Mighty Miner,The Log,Ice Spirit,Royal Delivery,Tesla
#V9PJPU9CP,6698,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#2YR08QYQG,6704,Knight,Witch,Electro Wizard,Royal Hogs,Ice Spirit,Cannon,Arrows,Royal Delivery
#8Y99CQVY,6710,Goblin Barrel,Royal Hogs,Mega Knight,Dart Goblin,Prince,Skeleton Army,Cannon,Bats,#V9PJPU9CP,6729,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies
